initial_utterance,tagged_utterance,tag
Анон,"Извините, это я. Больше не буду",apology
На Серпуховско-тимирязевской без перемен Анон,Извините меня,apology
Типо если мы в москве живём типо какие то другие нет так что,"Рыжий, ну ок ,извините !",apology
Твои чем лучше?),"Настя, извини, они только хуже.",apology
"Le, любите девушки простых романтиков Отважных лётчиков И моряков","Игнат, я дополнил. Извини)",apology
"Варя, Немедленно прекратите меня оскорблять.И извинитесь.","Сежа, извини что задела твои нежные чувства.",apology
"Роман, конь осуждает осёл повторяет, придумай что то своё такое уже было","Артём, извините, я не знал, что здесь надо строго следить за всеми комментариями(",apology
"Роман, чел я вообще вопросов не имею но имей ввиду что могут докопаться","Артём, всё, всё, понял! Ещё раз извините за беспокойство!!!",apology
"Сергей, зачем мне этому учиться? зачем портить русский язык","Dirty, а ну да верно,извините что не счёл нужным вас правильно назвать",apology
"Любой, кто поинтересуется темой Вашей диссертации - украл у Вас пакет с мышами?!","Саввелий, извините, неудачно пошутила. Ещё раз простите",apology
"Viktoriya, в общем хочу сказать что это важно оказывается и доброго вечера",Извини за беспокойство,apology
"Андрей, я с вами на ""ты"" не переходила.","Ксения, извините тогда меня",apology
"Василий, давайте удачи","Василий, если что извините",apology
Почему так вкусно пахнет в вагонах на 4 ветке?Кто знает?,извините я случайно,apology
"Ivan, да не. Видно что ребята чем то увлечены","Ладно, извини. Твоя правда",apology
"Alina, отдыхай дружище, нечего мне мешать отдыхать)","Alina, я уже забыл про этот комент) извини если обидел)",apology
"Александер, не до смеха","Данил, извините, простите",apology
"Арина, нет я","Полина, извини",apology
"Александр, да и человек сам выбирает оскорбиться ему или нет","Ева, извини.",apology
"Просто молча вошёл в поезд, встал на голову и упал, отпишись в комментах, откуда столько смелости?)",извините пожалуйста),apology
"Мария, да, это тонко, а вообще все по настроению, сегодня так, завтра уже ты другой","Антон, извини если задела",apology
"Михаил,я тоже не пойму почему мадам распласталась на 4 места, но намаз здесь не как не при чем.","Ясмин, ну извините если я каким то образом оскорбил ваше представление о вере !",apology
"Владислав, адекватные люди зашли в чат))","Анастасия, ну ладно ладно извини",apology
"Юлия, ну если тебе так интересно, то скажу тебе это не подкат, а просто чистый комплимент","ну тогда извини, брат ошиблась. Искренний комплимент людям только поддерживаю и респект",apology
"Fiji, зачем такое выкладывать??","Юлия, извините",apology
"Закир, За чай с молоком прощаю!","Макс, хорошо извини пожалуйста",apology
"Макс, давай тебе тоже удачи нарик","Закир, И ты извини!",apology
"Elbrus, ты первый придрался, ты и спровоцировал ""духоту""","Фёдор, хорошо Федя, извини",apology
"Иван, хахахахаххахахахахаха, лучший","Евгений, извини, больше так не буду",apology
"Александер, я так понял ты меня оскорбил по своему ?","Голиб, извини, я не хотел)обещаю, такого больше не повторится)",apology
Не агритесь. Автор просто поделился новостью,"Даня, извини",apology
"Вам тоже надо научиться грамотно писать, я не нарушил закон, от слова совсем, выделите хоть одно слово, где я запрещал девушке одеваться так, как она хочет!","Насият, извините, если где-то был не корректен!",apology
"Василий, паровоз должен давать паровозу подзатыльник, если тот не прав, дабы не позорить паровозов.","Василий, да, хорошо, извините ещё раз.",apology
"Аня, суть и так ясна, к деталям приставать не нужно","Андрей, извините, я заберу друга, мне очень стыдно",apology
"Артур, классика оскорблений подошла....","Гриша, извини если обидел. Я не хотел тебя оскорбить больше, чем это сделала твоя жизнь",apology
"Эльдар, ето оно","Яна, понял, извините",apology
"Серж, перечитай мое имя, пожалуйста","Софья, Извините пожалуйста",apology
"Андрей, и закончим тем что душнить шутку было не обязательно","Татьяна, извини не хотел огорчить",apology
"Дарья, это другое!!! ты что!!! ты ничего не понимаешь.....","Ева, точнооо.... Извините меня, пожалуйста, я просто какая-то дурная и несу какой-то бред",apology
"Диметрий, завидуй молча. У людей любоф","Артём, да да, ты, извини меня, не создаёшь впечатление особо наслышанного.",apology
"я знаю много хороших русских и среди моего окружения они есть, но в данном случае я говорю о таких каких описала ранее .","Алсу, вы правы, извините ещё раз, я не прочитал внимательно ваши комментарии.",apology
"Иван, очевидно же, что сарказм","Олег, да, очевидно.. Извини :р",apology
"Kurt, это шутка была,ну,да ладно.","Анна, извините",apology
"Владимир, боюсь, что хуже я уже не выдержу","Соня, ахах это да. Извини,что пытался быкануть,но облажался",apology
"Bunny, это моё","Артём, А. Извини. Попутал.",apology
"Евгений, два парня, прикинь?) как просто Две парни","Anna, ааа тогда извините. Я понял о чём вы...",apology
"Алексей, я никого тут не критикую.","Полина, извини зря быканул не заметил в начале",apology
Sweet Dreams VS Скованные одной цепью,"Классно получилось, подобные штуки вытворяет группа ROCK PRIVET, очень нраица как скрестили Пугачеву и Rammstein позови меня)))",appreciation
Sweet Dreams VS Скованные одной цепью,Прикольно.,appreciation
Sweet Dreams VS Скованные одной цепью,Молодца!,appreciation
Sweet Dreams VS Скованные одной цепью,Интересная задумка),appreciation
Моя любимая бабулечка Оля,Интересно!,appreciation
"1940 год. Три сестры. Вера (посередине старшая), Надежда (слева) и Любовь (младшая). Три моих бабушки.","Какие предусмотрительные родители окружили себя Верой, Надеждой и Любовью",appreciation
"Сейчас чаще кесарево при многоплодной беременности и если маловесные,ещё и реанимация","Марианна, тоже интересна история тройняшек!",appreciation
"Твоё, солидарна с вами, очень и очень приятная женщина, каждое фото наполнено теплыми эмоциями)",Вы просто восхитительны!,appreciation
"Твоё, солидарна с вами, очень и очень приятная женщина, каждое фото наполнено теплыми эмоциями)",Глядя на Вашу солнечную улыбку душа радуется!,appreciation
"Помню, отец привез мне из командировки подобный игрушечный телефон. О, боже, как я была счастлива!","Олеся, вообще круто!",appreciation
Специальная палатка для рыбалки от мошкары и комаров. Мне нужна такая!,Отличная штука.,appreciation
Специальная палатка для рыбалки от мошкары и комаров. Мне нужна такая!,И хобот для охлаждения пива есть - ну всё продумано!,appreciation
Моя мама. Ей здесь 21 год 22.07.1990,Мама красотка,appreciation
Жил у нас в семье алабай.,"Супер, браво!",appreciation
"Так Эдик, хватит мне морочить голову, я всё уже решила, ты остаешься с пацанами.",Хорошо.,appreciation
Я устроился на работу!,"Поздравляю, Вить!",appreciation
Туфли только надену.,Круто.,appreciation
"Да, понял я, понял…",Молодец!,appreciation
Я хотел тебя удивить.,У тебя получилось!,appreciation
Да.,Вот так сюрприз!,appreciation
Подарок.,Ого!,appreciation
Фристайло.,О!,appreciation
Фристайло.,Супер!,appreciation
Свадьба у меня.,Клёвая мотивация.,appreciation
"Ну, не знаю...",У вас реально руки из нужного места.,appreciation
"Наташ, я вообще-то на работе целыйдень не ела.",Молодец.,appreciation
Видел?,Прикольно,appreciation
"Соответственно, сегодня ночью мы не спим","Пап, это отличная идея.",appreciation
"Соответственно, сегодня ночью мы не спим",Лично мне очень нравится,appreciation
,"Да, Станислав Ильич, классный компьютерный центр открыли!",appreciation
,Поздравляю!,appreciation
Да,Молодцы.,appreciation
У меня будет завтра свидание с другой женщиной.,"Ну, это здорово.",appreciation
У меня будет завтра свидание с другой женщиной.,Я тебя поздравляю.,appreciation
"Ну, так и женитесь на Алисе Денисовне.","Крутой ты мужик, Коль!",appreciation
"Я просто считаю, что нужно быть обязательно с тем, кого по-настоящему любишь.","Ну, прав ты, прав, ценю!",appreciation
Уйду к Алисе – и пошли они все!,О!,appreciation
Уйду к Алисе – и пошли они все!,Здорово!,appreciation
"Всё равно я вас всех люблю, в общем, вот.",Молодец.,appreciation
Чемпионат по броскам штанги,"Так лучше, спасибо!",appreciation
Умеет...,Хорошая координация.,appreciation
Умеет...,И фигурка хорошая.,appreciation
Туше.,Очень хороший мультфильм,appreciation
Такой вот киберпанк,Прекрасно.,appreciation
Сделал костюм к празднику,лучший!,appreciation
Осторожнее,Так даже лучше!,appreciation
Общество.,Верно подмечено.,appreciation
Общество.,Однозначно,appreciation
Но есть нюанс,Всем это понравилось,appreciation
Не окосейте,Удивительно,appreciation
Мужик восстанавливает старую сковороду с помощью олова. Из такой есть вообще можно?,Какая хорошая формула!,appreciation
"В московскую ветклинику привезли котика по кличке Коврик с инструкцией по эксплуатации. (слайд, инструкция на втором кадре).",Удивительно,appreciation
"В Китае запустили первый подвесной поезд на магнитной подушке. Монорельс Уханя работает в беспилотном режиме, а перед пассажирами во время поездки открываются захватывающие пейзажи.",Хорошая графика,appreciation
Я есть Грут,Узрел!,appreciation
Моя любимая бабулечка Оля,Какая красавица!!!,appreciation
Лето 1973 года.,Такие тёплые и душевные фотографии,appreciation
Моя мамочка. Тут ей 21 год. Скучаю очень. Её нет уже 13 лет,Какая красавица!,appreciation
Моя мама мой идеал красоты,Очень красивая женщина!,appreciation
Еще подборка слайдов (диапозитивов) из далекого 1971 (1972) года.,Замечательные кадры!,appreciation
Моя мама.,"Отличный кадр, интересная внешность",appreciation
Вечернее МЦК.,Отличные кадры,appreciation
"Найду тебя, если оставишь комменты.",Хороша,appreciation
Сели вместе на Комсомольской Вышли на Преображенке.,"Вау, очень стильные",appreciation
"осень. время для тепла, обнимайтесь p.s. ребятам на память, надеюсь увидят",Очень красивые фотографии,appreciation
Анонимная поездка в метро - полностью провалилась.,Очень смешно !!,appreciation
В настоящей семье всё общее.,Забавно,appreciation
"Подруга постеснялась подойти, а мне не разрешила, так что ищу ее судьбу здесь.",Лучшая подруга в мире!,appreciation
Девушка очень красивая и стильная.,Позитивно,appreciation
"Вот такие интересные люди , ездят на фиолетовой ветке .",Феерично!!!,appreciation
Ну мило же))),Прекрасно,appreciation
"Найдитесь пожалуйста,видел вас в районе 18 на ЦСКА.",Лучшие,appreciation
В текстурах застрял,"Леванид, лучший комментарий",appreciation
Какие хорошие,Всем это понравилось,appreciation
"Ехала по кольцевой, вышла на комсомольской.","Красава, отмазался!",appreciation
Любви все возрасты покорны.,Хорошие фото,appreciation
"Кажется, ради такого стоит спускаться в метро",Это прекрасно),appreciation
В Москве только жаркие девочки,Очень хорошо,appreciation
"Сегодня последний день, когда на Таганско-Краснопресненской линии можно встретить праздничный поезд Ёж",Он прекрасен,appreciation
Голубям тоже холодно - они греются в метро,Забавно,appreciation
"Где-то ходят новенькие комфортные поезда, а где-то подмосковные электрички выглядят вот так: двери перекошены, не закрываются, вагон не отапливается, ветер гуляет по вагону.",Самая лучшая электричка!,appreciation
История что ни на есть из жизни.,Шикарно!,appreciation
"Подруга была в 2-недельной командировке, перед этим взяла с передержки взрослую капризную кошку, очень волновалась за ее психическое состояние в отсутствие хозяйки, просила нас приезжать через день, кормить и гладить не менее 15 минут.",Очень занимательная история,appreciation
"Чайка, это Дед.... папа на фото со мной","И папа и дед замечательные, вам оочень повезло с ними",appreciation
"Кадры на красной ветке. Парень слева найдись, интересный","Видно, что ему очень интересно",appreciation
Проложен последний тоннель Солнцевской линии до аэропорта Внуково,Вот это уже годно,appreciation
Любовь на арбатско-покровской линии Анонимно пожалуйста,Это лучшая работа в мире,appreciation
Вот такие мозаики в виде рыб появились на станции БКЛ Нагатинский Затон,Мне нравится. Вообще люблю мозаики.,appreciation
Вот такие мозаики в виде рыб появились на станции БКЛ Нагатинский Затон,"Очень красиво, я даже не ожидал",appreciation
"Еду домой, по вагону идет мужик, играя на флейте, а впереди него гордо вышагивает петух",Забавно,appreciation
Найдите девушку.,Хорошие советы,appreciation
Модный поезд катается на Курском направлении,Ай хорошо),appreciation
Ещё никогда Штирлиц не был так близко к провалу,Вот это да!,appreciation
"Серая ветка,чувствует себя как дома , анон",Это очень хорошо,appreciation
"Если в метро есть ад, то он здесь.",Красиво,appreciation
"видела этого парня на беговой, понравился, побоялась подойти познакомиться( найдись",хороший байт,appreciation
Такая ситуация ...,Очень хорошо,appreciation
Такой милый кайфарик,как же ему хорошо.,appreciation
"Может, пора уже объявить конкурс на самое необычное средство передвижения животных в столичной подземке?",Так удобно,appreciation
Отмечают мужчины ))),Лучшая реклама!,appreciation
"Очень специфичный вкус на салатовой ветке, анон пж",Лучший,appreciation
"Троих уроженцев Дагестана, которые жестоко избили москвича в столичном метро, приговорили к 12 годам тюрьмы",Хорошая новость,appreciation
"Троих уроженцев Дагестана, которые жестоко избили москвича в столичном метро, приговорили к 12 годам тюрьмы",Отлично,appreciation
"Троих уроженцев Дагестана, которые жестоко избили москвича в столичном метро, приговорили к 12 годам тюрьмы",Отличная новость,appreciation
Поколения,"Очень стильная ,мне нравится",appreciation
Красивых пёсиков вам в ленту,Такие красивые,appreciation
Пятничное,Изысканно,appreciation
Практически летний закат на Тушинской,Очень красиво,appreciation
"Понравилась девушка ,вышла на Выхино .Анонимно.",Хорошая,appreciation
Работу московского транспорта продлят в пасхальную ночь,Хорошая новость,appreciation
"Понравился подруге, скинула его фото , честно уговаривала подойти...",Очень интересно,appreciation
Очень красивое платье!!! на бкл Анон,Красиво очень !!!:),appreciation
Очень красивое платье!!! на бкл Анон,Очень мило! Приятно видеть такие образы в наше суровое время!,appreciation
"Понравились два мальчика, общались про нефтегазовую промышленность.",Интересно,appreciation
"Сели вместе на Красногвардейской в 10:53, я вышел на Царицыно, ты поехала дальше","Красивая, удачи в поисках",appreciation
"Ехали вместе на эскалаторе с Новослободской, ты выглядела и пахла очень недурно",Хороша,appreciation
"Моя дочь Василиса, снято на пленку, август 2023","Это лучшее, что я видела сегодня",appreciation
Я в 1992 г. и 2023 г.,Редкая красота,appreciation
"Были тинейджерами, отмечали Хеллоуин в 2004 году",Скромно и со вкусом,appreciation
"А ведь всё потому, что понимаем оба, соседи в мире должны жить.",Как мне понравилось!,appreciation
Мои дорогие бабушка и дедушка!,Очень красивая пара,appreciation
Это моя любимая бабушка Елена.,Красота то какая!!!,appreciation
Мои прадедушка с прабабушкой.,Очень красивые лица,appreciation
"Дал ей весной на билет, а на этой неделе она опять стояла с цыганкой вместе просили.",Очень красивая девушка - щёки большие!)),appreciation
Очаровательно,Очень позитивное фото !,appreciation
Очень красивое платье!!,Скромно и красиво!,appreciation
"Троих уроженцев Дагестана, которые жестоко избили москвича в столичном метро, приговорили к 12, 11 и 8 с половиной годам тюрьмы",Отличная новость,appreciation
Такая милая и грустит. Улыбнись жизнь прекрасна,Красивый образ,appreciation
Прапрабабушка и прапрадед,"Впечатляет, красивая семейная чета!",appreciation
Я в 1992 г. и 2023 г.,Шикарная!!!,appreciation
"Ма На батином мотоцикле на соревнованиях по мотокроссу, тот был мотогонщиком в категории про.",Шикарна!,appreciation
"Мама, 30 лет. 1974 год.",Очень стильная,appreciation
мои мама и папа в студенческие годы,Очень похожи!,appreciation
"фотографии моего папы с байк-шоу 2003 год кстати, именно в этом месте родители провели своё свадебное путешествие!",вот это реально интересно,appreciation
У моей мамы самая что ни на есть прекрасная и добрая улыбка!,"Красота непривычная, но всё ровно очаровательная!",appreciation
"Семейные посиделки, 1955г.",Такие добрые и уютные фотографии,appreciation
Каждый раз восхищаюсь ее красотой,Красоточка стильная!,appreciation
"Все фото дореволюционные, сделаны в Санкт-Петербурге.",Замечательные фото!,appreciation
"Мой красивый, гордый, любимый дедушка.","Господи, какой красивый!!!!",appreciation
"Моя мама сквозь года, в детстве, в школе, в институте и сейчас.","Безусловно, Ваша мама красивая женщина.",appreciation
"Жаль, что об этой девушке больше ничего не осталось, кроме этих фотографий.",Яркая внешность !,appreciation
В деревне у бабушки,Как же хорошо,appreciation
Молодые и любящие друг друга бабушка и дедушка.,Какая красивая фотография!!!,appreciation
Мой дедушка в разные периоды его жизни.,Какой красивый мужчина !!!,appreciation
"Не теряйте ни секунды, чтобы сказать люблю, спасибо, и обнять",Очень правильные слова,appreciation
"Мне тут, наверное, 6 лет.",Круто!,appreciation
"Мне тут, наверное, 6 лет.",Замечательные костюмы!!!,appreciation
"Это я, в 1996 году, в огороде у бабушки выросли гигантские подсолнухи.",Удивительно,appreciation
Pixie & Brutus #89 - Racecar (14.04.2021),"Отличный выпуск, спасибо вам.",appreciation
Три объёмности,У вас тонкий вкус/,appreciation
Весна 1998 годС бабушкой,Такие счастливые,appreciation
"Одевшись по всем канонам моды того времени, собралась идти в школу.",Модница!,appreciation
"Моя мама с козлятами тогда и сейчас, разница между снимками 60 лет",Очень трогательные фотографии!,appreciation
